Region,Centroid_X,Centroid_Y,Total_Area,Max_Radiation,Average_Radiation,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,700,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,800,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,900,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1000,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1100,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1200,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1300,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1400,248125.0,1476.7854,2932712.5,2265487.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1500,66562500.0,1582.0686,2951537.5,2270662.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1600,1267263125.0,1662.575,2981612.5,2246237.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1700,14592500.0,1701.814,3009537.5,2157437.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,211.76048,1800,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,700,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,800,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,900,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1000,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1100,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1200,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1300,3750.0,1381.06,2993562.5,2055237.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1400,40625.0,1448.7081,2993512.5,2055337.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1500,157500.0,1584.6425,3044112.5,2065937.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1600,452535000.0,1691.9282,3059012.5,2074812.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1700,485572500.0,1711.2795,3038212.5,2087987.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1752.6632,198.25446,1800,0.0,,,
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,700,0.0,,,
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,800,0.0,,,
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,900,0.0,,,
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1000,0.0,,,
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1100,67500.0,1191.133,3214462.5,2327112.5
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1200,69713125.0,1280.8209,3249687.5,2318787.5
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1300,127361875.0,1364.0605,3200637.5,2315012.5
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1400,253596875.0,1473.3425,3205662.5,2280237.5
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1500,426216875.0,1549.3263,3191237.5,2253937.5
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1600,114872500.0,1629.655,3198587.5,2166287.5
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1700,0.0,,,
ES412,3204997.0788679207,2241209.2547346335,14291016250.33329,1667.3192,103.59722,1800,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,700,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,800,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,900,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1000,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1100,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1200,65000.0,1286.5791,3069987.5,2335012.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1300,2371875.0,1374.8905,3070312.5,2334937.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1400,49809375.0,1477.467,3053537.5,2329962.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1500,857584375.0,1565.9392,2962137.5,2319112.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1600,945693750.0,1628.639,3061112.5,2302112.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1700,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.03755,1800,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,700,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,800,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,900,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1000,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1100,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1200,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1300,1250.0,1399.7689,3123462.5,2310687.5
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1400,1209375.0,1475.1575,3177087.5,2293787.5
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1500,155198125.0,1571.8127,3144062.5,2307937.5
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1600,136378750.0,1640.6749,3118062.5,2263512.5
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1700,0.0,,,
ES414,3128171.6855958016,2256178.2178897867,8051579980.794674,1672.8219,58.1964,1800,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,700,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,800,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,900,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1000,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1100,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1200,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1300,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1400,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1500,103125.0,1576.0718,2938762.5,2078412.5
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1600,1700751875.0,1685.9349,2966012.5,2155262.5
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1700,807514375.0,1715.135,3032562.5,2141187.5
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.10782,1800,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,700,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,800,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,900,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1000,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1100,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1200,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1300,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1400,33750.0,1466.1443,3192637.5,2111062.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1500,23420000.0,1589.982,3193862.5,2118987.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1600,610204375.0,1641.3066,3155912.5,2145912.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1700,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,150.0406,1800,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,700,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,800,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,900,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1000,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1100,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1200,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1300,13750.0,1392.4417,3314837.5,2188912.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1400,2440000.0,1484.7864,3297112.5,2189437.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1500,133178750.0,1570.9421,3336187.5,2164712.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1600,590345625.0,1641.3523,3312462.5,2131012.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1700,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.614334,1800,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,700,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,800,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,900,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1000,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1100,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1200,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1300,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1400,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1500,0.0,,,
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1600,263263750.0,1667.8865,3056612.5,2250737.5
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1700,338750.0,1703.455,3043137.5,2160687.5
ES418,3088146.2530320035,2180813.983105271,8109416091.365298,1703.5247,54.183273,1800,0.0,,,
